City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ariquemes,-9.9133,-63.0408,76.77,95,99,3.27,BR,1707606852
1,chonchi,-42.6128,-73.8092,62.31,69,11,1.1,CL,1707606852
2,wailua homesteads,22.0669,-159.378,79.23,78,40,6.91,US,1707606852
3,forster,-32.1667,152.5167,74.37,79,88,12.21,AU,1707606853
4,merizo village,13.2658,144.6691,82.96,79,99,18.68,GU,1707606853
5,talnakh,69.4865,88.3972,-17.93,87,97,3.24,RU,1707606853
6,zapolyarnyy,69.4154,30.8136,-2.92,88,100,6.24,RU,1707606854
7,georgetown,5.4112,100.3354,80.53,65,20,6.91,MY,1707606854
8,santa vitoria do palmar,-33.5189,-53.3681,73.89,96,100,15.41,BR,1707606572
9,victorica,-36.2151,-65.4359,82.47,49,6,5.03,AR,1707606855
10,lerwick,60.1545,-1.1494,37.4,97,100,28.99,GB,1707606855
11,port-aux-francais,-49.35,70.2167,46.87,99,100,23.04,TF,1707606855
12,alexandria,31.2156,29.9553,57.61,76,2,5.5,EG,1707606592
13,grytviken,-54.2811,-36.5092,37.18,94,100,21.12,GS,1707606856
14,luderitz,-26.6481,15.1594,63.54,83,39,28.54,NA,1707606856
15,longyearbyen,78.2186,15.6401,24.64,68,75,6.91,SJ,1707606856
16,mili,6.0815,171.735,81.93,80,100,22.35,MH,1707606856
17,hithadhoo,-0.6,73.0833,82.63,73,39,8.68,MV,1707606857
18,ushuaia,-54.8,-68.3,53.26,76,0,17.27,AR,1707606857
19,yamada,39.4667,141.95,33.35,62,65,5.39,JP,1707606857
20,nemuro,43.3236,145.575,27.25,91,100,14.54,JP,1707606857
21,papatowai,-46.5619,169.4708,51.85,67,99,6.24,NZ,1707606857
22,bad windsheim,49.5,10.4167,46.26,97,0,0.0,DE,1707606858
23,tabou,4.423,-7.3528,80.19,88,12,5.19,CI,1707606858
24,olonkinbyen,70.9221,-8.7187,26.02,65,80,11.41,SJ,1707606858
25,idri,27.5,13.2667,61.05,15,100,7.09,LY,1707606858
26,waitangi,-43.9535,-176.5597,66.81,89,86,5.01,NZ,1707606858
27,pontes e lacerda,-15.2261,-59.3353,79.56,79,92,2.71,BR,1707606859
28,khagrachhari,23.1,91.9667,51.8,78,6,1.92,BD,1707606859
29,dudinka,69.4058,86.1778,-17.32,88,100,7.0,RU,1707606859
30,adamstown,-25.066,-130.1015,77.34,90,100,27.18,PN,1707606859
31,edinburgh of the seven seas,-37.0676,-12.3116,65.64,91,100,17.85,SH,1707606860
32,aioun,16.6614,-9.6149,78.13,6,0,9.24,MR,1707606860
33,carapelle,41.3652,15.6938,57.18,72,40,11.5,IT,1707606860
34,whittlesea,-32.1759,26.8244,55.2,81,50,3.85,ZA,1707606861
35,hasaki,35.7333,140.8333,41.29,46,75,13.53,JP,1707606861
36,novofedorivka,46.1713,32.3178,43.75,96,100,10.29,UA,1707606861
37,vorgashor,67.5833,63.95,-15.47,98,100,5.68,RU,1707606861
38,ust-nera,64.5667,143.2,-32.57,100,100,2.57,RU,1707606861
