City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,65.84,78,100,9.73,AU,1716213033
1,azul,-36.777,-59.8585,49.19,71,30,14.92,AR,1716212890
2,huarmey,-10.0681,-78.1522,68.29,82,55,7.9,PE,1716213033
3,dumka,24.2667,87.25,92.46,35,48,5.37,IN,1716213034
4,olonkinbyen,70.9221,-8.7187,25.25,64,100,14.65,SJ,1716213034
5,blackmans bay,-43.0167,147.3167,45.73,88,79,4.12,AU,1716213034
6,chibougamau,49.9168,-74.3659,62.22,63,0,8.05,CA,1716213034
7,udachny,66.4167,112.4,36.45,61,100,14.9,RU,1716213034
8,invercargill,-46.4,168.35,41.02,92,78,1.59,NZ,1716213034
9,aykhal,66.0,111.5,29.34,97,100,18.14,RU,1716213035
10,dudinka,69.4058,86.1778,29.68,95,100,23.0,RU,1716213035
11,port-aux-francais,-49.35,70.2167,41.95,85,50,28.97,TF,1716213035
12,melekeok village,7.4957,134.6367,82.96,83,75,4.61,PW,1716213035
13,whitehorse,60.7161,-135.0538,38.17,63,75,12.66,CA,1716213035
14,ta`u,-14.2336,-169.5144,83.68,76,48,21.81,AS,1716213036
15,kuanda,56.3161,116.0806,47.07,80,47,6.46,RU,1716213036
16,albany,42.6001,-73.9662,70.9,72,60,1.01,US,1716212756
17,el calafate,-50.3408,-72.2768,36.82,80,47,3.89,AR,1716212992
18,isafjordur,66.0755,-23.124,48.24,61,75,9.22,IS,1716213037
19,shambu,9.5667,37.1,64.02,64,99,2.62,ET,1716213037
20,jodiya bandar,22.7167,70.2833,84.96,82,0,24.7,IN,1716213037
21,labrador city,52.9463,-66.9114,60.19,59,75,18.99,CA,1716213037
22,cabo san lucas,22.8909,-109.9124,79.11,43,75,9.22,MX,1716212828
23,avarua,-21.2078,-159.775,75.25,78,75,8.05,CK,1716213038
24,bathsheba,13.2167,-59.5167,86.61,74,20,17.27,BB,1716213038
25,ancud,-41.8697,-73.8203,49.35,84,100,17.2,CL,1716213038
26,xilin hot,43.9667,116.0333,68.4,16,100,5.97,CN,1716213038
27,mount pearl,47.5166,-52.7813,51.46,78,75,11.5,CA,1716212892
28,dunedin,-45.8742,170.5036,44.8,97,100,4.16,NZ,1716212867
29,hadibu,12.65,54.0333,87.22,72,73,5.61,YE,1716213039
30,waitangi,-43.9535,-176.5597,51.82,73,3,12.24,NZ,1716213039
31,adamstown,-25.066,-130.1015,68.09,63,100,12.03,PN,1716213039
32,burgos,42.3394,-3.7079,57.61,54,40,6.91,ES,1716213039
33,iqaluit,63.7506,-68.5145,24.53,73,20,19.57,CA,1716213039
34,jamestown,42.097,-79.2353,73.02,75,0,3.44,US,1716212893
35,tiksi,71.6872,128.8694,9.77,100,13,1.86,RU,1716213040
36,saint-philippe,-21.3585,55.7679,71.19,85,90,17.94,RE,1716213040
37,ntui,4.45,11.6333,91.27,48,52,2.04,CM,1716213040
38,codrington,-38.2667,141.9667,54.84,55,100,11.61,AU,1716213040
39,cristalina,-16.7686,-47.6136,79.39,41,23,6.78,BR,1716213040
40,grytviken,-54.2811,-36.5092,36.5,91,70,11.65,GS,1716213040
41,bredasdorp,-34.5322,20.0403,73.58,43,59,6.85,ZA,1716213041
42,ushuaia,-54.8,-68.3,38.86,75,40,6.91,AR,1716213041
43,las lomitas,-24.7096,-60.593,61.09,54,0,6.29,AR,1716213041
44,georgetown,5.4112,100.3354,87.75,76,20,5.75,MY,1716212888
45,harrisonburg,38.4496,-78.8689,72.03,87,0,4.61,US,1716212994
46,dwarka,22.2394,68.9678,84.81,82,0,14.63,IN,1716213042
47,faya-largeau,17.9257,19.1043,114.69,4,0,11.5,TD,1716213042
